SecurityCode,Symbol,SecurityName,ISINNo,Sector,Industry,Exchange,Currency,GICS,Country
530361,PRABHHANS,Prabhhans Industries Ltd,INE428P01013,Consumer Discretionary,Textiles,NSE,INR,25203030,India
540027,PTIL,Prabhat Technologies (India) Ltd,INE171P01019,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
532934,PPAP,PPAP Automotive Limited,INE095I01015,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
539302,POWERMECH,Power Mech Projects Ltd,INE211R01019,Industrials,Construction,NSE,INR,20103010,India
532898,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,INE752E01010,Utilities,Power,NSE,INR,55103010,India
532810,PFC,POWER FINANCE CORPORATION LTD.,INE134E01011,Financial Services,Financial Services,NSE,INR,40201020,India
532933,PORWAL,PORWAL AUTO COMPONENTS LTD.,INE386I01018,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
524000,POONAWALLA,Poonawalla Fincorp Ltd,INE511C01022,Financial Services,Financial Services,NSE,INR,40201020,India
519359,POONADAL,POONA DAL & OIL INDUSTRIES LTD.,INE809E01018,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
540727,POOJA,Poojawestern Metaliks Ltd,INE973X01012,Industrials,Capital Goods,NSE,INR,40203030,India
532011,POOJAENT,POOJA ENTERTAINMENT AND FILMS LTD.,INE147C01017,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
532460,PONNIERODE,PONNI SUGARS (ERODE) LTD.,INE838E01017,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
532626,POCL,PONDY OXIDES & CHEMICALS LTD.,INE063E01046,Commodities,Metals & Mining,NSE,INR,151040,India
512481,POLYTEX,POLYTEX INDIA LTD.,INE012F01016,Financial Services,Financial Services,NSE,INR,40201020,India
539354,POLYSPIN,Polyspin Exports Ltd,INE914G01029,Industrials,Capital Goods,NSE,INR,40203030,India
524051,POLYPLEX,POLYPLEX CORPORATION LTD.,INE633B01018,Industrials,Capital Goods,NSE,INR,40203030,India
526043,POLYCHMP,POLYMECHPLAST MACHINES LTD.,INE809B01014,Industrials,Capital Goods,NSE,INR,40203030,India
537573,POLYMAC,Polymac Thermoformers Ltd,INE826P01018,Industrials,Capital Goods,NSE,INR,40203030,India
531454,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,INE323D01020,Commodities,Chemicals,NSE,INR,15101010,India
531397,POLYCON,POLYCON INTERNATIONAL LTD.,INE262C01014,Industrials,Capital Goods,NSE,INR,40203030,India
506605,POLYCHEM,POLYCHEM LTD.,INE752B01024,Commodities,Chemicals,NSE,INR,15101010,India
542652,POLYCAB,Polycab India Ltd,INE455K01017,Industrials,Capital Goods,NSE,INR,40203030,India
